"","Date","Borough","Cases","Individuals"
"143",2019-08-01,"Manhattan",3599,6392
"144",2019-08-01,"Queens",3578,6490
"145",2019-08-01,"Staten Island",465,1053
"146",2019-09-01,"Bronx",7068,15817
"147",2019-09-01,"Brooklyn",5520,10629
"148",2019-09-01,"Manhattan",3635,6467
"149",2019-09-01,"Queens",3660,6706
"150",2019-09-01,"Staten Island",486,1119
"151",2019-10-01,"Bronx",7056,15862
"152",2019-10-01,"Brooklyn",5554,10724
"153",2019-10-01,"Manhattan",3643,6409
"154",2019-10-01,"Queens",3653,6714
"155",2019-10-01,"Staten Island",492,1117
"156",2019-11-01,"Bronx",7052,15862
"157",2019-11-01,"Brooklyn",5556,10665
"158",2019-11-01,"Manhattan",3632,6427
"159",2019-11-01,"Queens",3635,6685
"160",2019-11-01,"Staten Island",499,1112
"161",2019-12-01,"Bronx",7861,17767
"162",2019-12-01,"Brooklyn",6786,13192
"163",2019-12-01,"Manhattan",3612,6404
"164",2019-12-01,"Queens",3586,6582
"165",2019-12-01,"Staten Island",504,1121
